Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
    Manufacturing Services On Physical Inputs Owned By Others,10935.6,9901.8,9119.5,7928.3,7576.9,8194.9,7689.7,8341.2,7846.8,6500.5,5349.2,4486.9,4501,3270.7,2556.3,1562.4,1214.2,1140.7,858.3,413.2,502.1,315.7,218.1
    Maintenance And Repair Services,992.1,977.8,996,1189.5,991.5,821.7,924.1,929.3,880.7,845.2,837,872.3,874.1,991,757,546.4,471.4,314.4,237.9,225.2,222.2,195.7,171.2
    Transport,127014.2,118605.1,101648.7,88245.2,84996,70383.5,60109.4,65611.6,57822.3,49280.7,44508.4,41789.4,40303,35759.9,41812,40454,36703.4,33630.5,29946.8,22672.4,19037.5,21607.1,21629.2
      Freight,89227.4,85095.8,71340.2,58619.4,56374.1,47484.5,38114.9,43581.5,36584.5,29938.6,26273.1,26261.7,23493.2,21313.1,28387.4,27428.8,24853,22307.9,19608.7,13828.2,10339.5,13591.1,13848
      Others,37786.8,33509.3,30308.5,29625.8,28621.9,22899,21994.5,22030.1,21237.8,19342.1,18235.3,15527.7,16809.8,14446.8,13424.6,13025.2,11850.4,11322.6,10338.1,8844.2,8698,8016,7781.2
    Travel,21076.9,5560.6,9782,36898,35738.7,34308.2,33063.4,32524.9,32368.7,30540.3,28915.8,26941.6,25497.3,22840.9,23119.1,20350.9,17904,16761,15704.2,14594.5,14691.7,11843.2,8513.7
    Insurance,8214.9,7901.5,9085.6,7507.1,6643,5548.8,6032.6,4376.7,3609.4,4257.3,3498.3,3318.6,3240.3,2306.4,2551,2213.8,1972.4,2087.5,2017.5,1894.8,1834.9,1768.6,2121.5
    Government Goods And Services,324.8,299.9,288.9,315.6,311.1,293.4,310.3,274.7,295.1,287,256.8,260.8,261.3,320,319.1,280.3,309.7,297.9,281.7,213,202.5,182.4,170
    Construction,814.3,781.6,669.6,639.3,744,514.4,514.1,466.9,497.6,679.8,648.8,661.4,686.6,568.2,490.6,340.8,253.5,332.6,571.2,209.6,199,236.8,219.8
    Financial,15507.7,15537.3,13466.5,9810.4,8853.6,7690.9,6363.3,6194,5502,4647.2,4034.2,3915.1,3493.8,2978.7,3566.1,3465.4,2285.9,1524.5,1374.8,1256.6,1059.8,982.1,1038.7
"    Telecommunications, Computer & Information",37023.8,36193.8,31584.6,22947.6,19813.5,20807.7,17648.3,14932.2,20311.2,11792.6,9515.9,7186.1,4487.2,3476.3,3385.7,2786.9,2449,1896,1613.2,1620.8,1519.3,1570.4,1407.2
    Charges For The Use Of Intellectual Property,21792.3,21932.5,20534.4,20682.6,23266.3,21833.3,21644.2,26672,26452.9,28769.9,28874.5,25590.9,23219.6,19545.8,19248,14785.3,15516.8,15802.9,13613.8,11805,8860.3,8847.5,8791
"    Personal, Cultural And Recreational",1365.6,1295.9,1026.2,1032.2,904.5,584.5,542.3,685.2,625.3,584.1,557.9,577,561.5,445.3,526.1,178,166.9,184.4,198.3,162.7,185.4,104.3,78.5
    Other Business Services,111481,107245.2,94025.1,84513.2,80929.2,79299.4,64045.5,61290.9,54965.6,49151.1,39100.3,32614.7,29931.7,28627.4,29796,26175.6,24044,17655.6,17697.6,14393.9,11459.5,8952.6,7238.7
      Accounting,637.9,588.2,623.4,529,467.1,404.7,392,331,290.8,260.1,270.8,222.2,205.4,239.2,226.3,178.4,134,92.1,67.1,45.1,45.2,40.9,34
      Advertising And Market Research,21460,20057.9,15360.9,13741.5,10154.8,7983,4258.7,3808.8,3418.6,3101.4,3057,2390.5,2317,2269.3,2186.6,1961.4,1473.5,1141.1,970.9,729,663.6,631.4,578.7
      Architectural,46,43.1,49.1,49.8,65.1,55.5,72,46.9,56.9,78.8,84.6,62.5,64,51,76.9,130.4,48.6,24.7,17.3,17.2,14.3,22.6,13.6
      Business Management,36216.4,34761.8,30495.1,29105.4,25900.3,23605.9,21712.2,18749.9,17318.3,15750.8,14672.4,13441.7,10529.3,9931.6,9274.5,8538.1,8312.6,5716.9,5631.5,5970.8,4595.7,3507.5,3016.3
      Engineering And Technical,5817,6034.5,5122.9,4388.1,3315.5,3186.5,3323.7,3286.9,3336.6,2755.6,2340.1,1966.9,1749.7,2273.5,1888.5,1271.2,1406.7,924.6,738.8,637.1,476.8,415.8,317.8
      Legal,696.9,657.7,559.3,425.4,393.8,347.9,336.7,315.4,298.7,262.6,663.9,234.7,284.5,398.3,327.2,156.1,108.6,102,92.7,101.8,86.2,62.5,66.9
      Research And Development,22654.5,22008.7,21456.4,17943.9,18968.7,22373.3,14544.7,17126.5,10651.6,11677.6,5949.2,4856.3,4222,4047.2,3853.9,3045.4,3333.5,2302.5,2396.3,2062.2,1790.4,1632.6,1322.8
      Operating Leasing,3818.2,3659.9,3751.2,4688.7,5385.5,5542.2,4843.3,5177.4,7581.7,4437.6,3109.3,1635.9,3638.6,3015.6,3238.9,3038.9,2333.4,1822.8,2034.3,1413.2,1347.9,502.7,416.4
      Trade-Related,19707.4,19039.1,16200.4,13315,15946.7,15428.8,14167,12097,11747.5,10573.2,8792.7,7530,6669.6,6083.2,8492.4,7645.4,6756.3,5391.3,5614.2,3293.4,2380.3,2079.1,1398.9
      Others,426.7,394.3,406.4,326.4,331.7,371.6,395.2,351.1,264.9,253.4,160.3,274,251.6,318.5,230.8,210.3,136.8,137.6,134.5,124.1,59.1,57.5,73.3
